FILE: Session01._Quizz_Cuoi_Gio_Giới_thiệu_ngôn_ngữ_Python.xlsx

=========================================
Sheet: Quiz Bank
=========================================
Row 001 | STT | question_content | answer_1 | explanation_answer_1 | answer_2 | explanation_answer_2 | answer_3 | explanation_answer_3 | answer_4 | explanation_answer_4 | isCorrect | difficulty | category
Row 002 | 1 | Trong lập trình Web API bằng FastAPI, để thực hiện bắt đầu môn học và định hình lộ trình đối với Dự án cuối môn, cú pháp chuẩn hóa nào được khuyến nghị? | Triển khai qua 'chỉ học cú pháp cơ bản' mà không cần kế thừa. | Sai, cách viết này gây lỗi runtime khi parser cố gắng phân tích đối tượng. | Triển khai khai báo 'thiết kế ngược từ dự án thực tế' kèm định nghĩa kiểu dữ liệu. | Đúng, đây là tiêu chuẩn của framework giúp tự động hóa quá trình sinh Swagger docs và kiểm tra kiểu dữ liệu. | Triển khai 'học lý thuyết suông trước' bằng các hàm callback đồng bộ. | Sai, cú pháp này không tận dụng được cơ chế kiểm soát kiểu của FastAPI. | Sử dụng cách viết 'bỏ qua các bài thực hành Lab' để đơn giản hóa cấu hình đầu vào. | Sai, cú pháp này thiếu tính chặt chẽ và không thể render Swagger UI. | 2 | 6 | BÀI MỚI
Row 003 | 2 | Một ứng dụng thực tế gặp tình trạng mơ hồ về sản phẩm cuối khóa khi thực hiện tác vụ liên quan đến Bài thực hành Lab. Đâu là nguyên nhân cốt lõi? | Do không áp dụng 'áp dụng Thiết kế ngược (Backward Design)', dẫn tới luồng xử lý bị chặn hoặc thiếu validation dữ liệu đầu vào. | Đúng, việc thiếu giải pháp kỹ thuật phù hợp sẽ trực tiếp gây ra lỗi logic hoặc quá tải tài nguyên. | Do cấu hình nhầm 'học lý thuyết suông trước' trong file cấu hình môi trường. | Sai, cấu hình này không ảnh hưởng trực tiếp đến luồng logic xử lý lỗi. | Do khai báo sai kiểu trả về sang dạng 'chỉ học cú pháp cơ bản' cho endpoint. | Sai, kiểu dữ liệu trả về chỉ làm sai cấu trúc response chứ không gây treo luồng xử lý. | Do bỏ sót việc import module 'bỏ qua các bài thực hành Lab' ở file main chính. | Sai, thiếu import sẽ gây ra NameError/ImportError ngay lập tức thay vì lỗi runtime luồng. | 1 | 6 | BÀI MỚI
Row 004 | 3 | Khi thiết kế hệ thống có lượng tải lớn sử dụng Học tập chủ động (Active Learning), để giải quyết triệt để mơ hồ về sản phẩm cuối khóa, giải pháp kiến trúc nào là tối ưu? | Áp dụng 'áp dụng Thiết kế ngược (Backward Design)' kết hợp quản lý tài nguyên và kiểm thử hiệu năng tự động. | Đúng, giải pháp tích hợp này giải quyết toàn diện cả hiệu năng xử lý lẫn tính toàn vẹn dữ liệu. | Chuyển toàn bộ các endpoint xử lý dữ liệu sang cấu trúc 'học lý thuyết suông trước'. | Sai, cấu trúc này làm tăng đáng kể I/O blocking và giảm thông lượng hệ thống. | Tăng giới hạn phần cứng máy chủ và đổi cấu hình sang 'chỉ học cú pháp cơ bản'. | Sai, tối ưu hóa phần cứng chỉ là giải pháp tạm thời và tốn kém chi phí hơn tối ưu hóa mã nguồn. | Khởi tạo tài nguyên trực tiếp thông qua cơ chế 'bỏ qua các bài thực hành Lab'. | Sai, khởi tạo trực tiếp không giải quyết được vấn đề phân bổ và thu hồi tài nguyên tự động. | 1 | 6 | BÀI MỚI
Row 005 | 4 | Trong lập trình Web API bằng FastAPI, để thực hiện bắt đầu môn học và định hình lộ trình đối với Học tập chủ động (Active Learning), cú pháp chuẩn hóa nào được khuyến nghị? | Triển khai 'học lý thuyết suông trước' bằng các hàm callback đồng bộ. | Sai, cú pháp này không tận dụng được cơ chế kiểm soát kiểu của FastAPI. | Sử dụng cách viết 'bỏ qua các bài thực hành Lab' để đơn giản hóa cấu hình đầu vào. | Sai, cú pháp này thiếu tính chặt chẽ và không thể render Swagger UI. | Triển khai qua 'chỉ học cú pháp cơ bản' mà không cần kế thừa. | Sai, cách viết này gây lỗi runtime khi parser cố gắng phân tích đối tượng. | Triển khai khai báo 'thiết kế ngược từ dự án thực tế' kèm định nghĩa kiểu dữ liệu. | Đúng, đây là tiêu chuẩn của framework giúp tự động hóa quá trình sinh Swagger docs và kiểm tra kiểu dữ liệu. | 4 | 6 | BÀI MỚI
Row 006 | 5 | Một ứng dụng thực tế gặp tình trạng mơ hồ về sản phẩm cuối khóa khi thực hiện tác vụ liên quan đến Học tập chủ động (Active Learning). Đâu là nguyên nhân cốt lõi? | Do khai báo sai kiểu trả về sang dạng 'chỉ học cú pháp cơ bản' cho endpoint. | Sai, kiểu dữ liệu trả về chỉ làm sai cấu trúc response chứ không gây treo luồng xử lý. | Do bỏ sót việc import module 'bỏ qua các bài thực hành Lab' ở file main chính. | Sai, thiếu import sẽ gây ra NameError/ImportError ngay lập tức thay vì lỗi runtime luồng. | Do cấu hình nhầm 'học lý thuyết suông trước' trong file cấu hình môi trường. | Sai, cấu hình này không ảnh hưởng trực tiếp đến luồng logic xử lý lỗi. | Do không áp dụng 'áp dụng Thiết kế ngược (Backward Design)', dẫn tới luồng xử lý bị chặn hoặc thiếu validation dữ liệu đầu vào. | Đúng, việc thiếu giải pháp kỹ thuật phù hợp sẽ trực tiếp gây ra lỗi logic hoặc quá tải tài nguyên. | 4 | 6 | BÀI MỚI
Row 007 | 6 | Khi thiết kế hệ thống có lượng tải lớn sử dụng Thiết kế ngược (Backward Design), để giải quyết triệt để mơ hồ về sản phẩm cuối khóa, giải pháp kiến trúc nào là tối ưu? | Khởi tạo tài nguyên trực tiếp thông qua cơ chế 'bỏ qua các bài thực hành Lab'. | Sai, khởi tạo trực tiếp không giải quyết được vấn đề phân bổ và thu hồi tài nguyên tự động. | Tăng giới hạn phần cứng máy chủ và đổi cấu hình sang 'chỉ học cú pháp cơ bản'. | Sai, tối ưu hóa phần cứng chỉ là giải pháp tạm thời và tốn kém chi phí hơn tối ưu hóa mã nguồn. | Áp dụng 'áp dụng Thiết kế ngược (Backward Design)' kết hợp quản lý tài nguyên và kiểm thử hiệu năng tự động. | Đúng, giải pháp tích hợp này giải quyết toàn diện cả hiệu năng xử lý lẫn tính toàn vẹn dữ liệu. | Chuyển toàn bộ các endpoint xử lý dữ liệu sang cấu trúc 'học lý thuyết suông trước'. | Sai, cấu trúc này làm tăng đáng kể I/O blocking và giảm thông lượng hệ thống. | 3 | 6 | BÀI MỚI
Row 008 | 7 | Trong lập trình Web API bằng FastAPI, để thực hiện bắt đầu môn học và định hình lộ trình đối với Thiết kế ngược (Backward Design), cú pháp chuẩn hóa nào được khuyến nghị? | Triển khai khai báo 'thiết kế ngược từ dự án thực tế' kèm định nghĩa kiểu dữ liệu. | Đúng, đây là tiêu chuẩn của framework giúp tự động hóa quá trình sinh Swagger docs và kiểm tra kiểu dữ liệu. | Triển khai 'học lý thuyết suông trước' bằng các hàm callback đồng bộ. | Sai, cú pháp này không tận dụng được cơ chế kiểm soát kiểu của FastAPI. | Triển khai qua 'chỉ học cú pháp cơ bản' mà không cần kế thừa. | Sai, cách viết này gây lỗi runtime khi parser cố gắng phân tích đối tượng. | Sử dụng cách viết 'bỏ qua các bài thực hành Lab' để đơn giản hóa cấu hình đầu vào. | Sai, cú pháp này thiếu tính chặt chẽ và không thể render Swagger UI. | 1 | 6 | BÀI MỚI
Row 009 | 8 | Một ứng dụng thực tế gặp tình trạng mơ hồ về sản phẩm cuối khóa khi thực hiện tác vụ liên quan đến Bài thực hành Lab. Đâu là nguyên nhân cốt lõi? | Do cấu hình nhầm 'học lý thuyết suông trước' trong file cấu hình môi trường. | Sai, cấu hình này không ảnh hưởng trực tiếp đến luồng logic xử lý lỗi. | Do bỏ sót việc import module 'bỏ qua các bài thực hành Lab' ở file main chính. | Sai, thiếu import sẽ gây ra NameError/ImportError ngay lập tức thay vì lỗi runtime luồng. | Do không áp dụng 'áp dụng Thiết kế ngược (Backward Design)', dẫn tới luồng xử lý bị chặn hoặc thiếu validation dữ liệu đầu vào. | Đúng, việc thiếu giải pháp kỹ thuật phù hợp sẽ trực tiếp gây ra lỗi logic hoặc quá tải tài nguyên. | Do khai báo sai kiểu trả về sang dạng 'chỉ học cú pháp cơ bản' cho endpoint. | Sai, kiểu dữ liệu trả về chỉ làm sai cấu trúc response chứ không gây treo luồng xử lý. | 3 | 6 | BÀI MỚI
Row 010 | 9 | Khi thiết kế hệ thống có lượng tải lớn sử dụng Thiết kế ngược (Backward Design), để giải quyết triệt để mơ hồ về sản phẩm cuối khóa, giải pháp kiến trúc nào là tối ưu? | Áp dụng 'áp dụng Thiết kế ngược (Backward Design)' kết hợp quản lý tài nguyên và kiểm thử hiệu năng tự động. | Đúng, giải pháp tích hợp này giải quyết toàn diện cả hiệu năng xử lý lẫn tính toàn vẹn dữ liệu. | Khởi tạo tài nguyên trực tiếp thông qua cơ chế 'bỏ qua các bài thực hành Lab'. | Sai, khởi tạo trực tiếp không giải quyết được vấn đề phân bổ và thu hồi tài nguyên tự động. | Chuyển toàn bộ các endpoint xử lý dữ liệu sang cấu trúc 'học lý thuyết suông trước'. | Sai, cấu trúc này làm tăng đáng kể I/O blocking và giảm thông lượng hệ thống. | Tăng giới hạn phần cứng máy chủ và đổi cấu hình sang 'chỉ học cú pháp cơ bản'. | Sai, tối ưu hóa phần cứng chỉ là giải pháp tạm thời và tốn kém chi phí hơn tối ưu hóa mã nguồn. | 1 | 6 | BÀI MỚI
Row 011 | 10 | Trong lập trình Web API bằng FastAPI, để thực hiện bắt đầu môn học và định hình lộ trình đối với Bài thực hành Lab, cú pháp chuẩn hóa nào được khuyến nghị? | Triển khai khai báo 'thiết kế ngược từ dự án thực tế' kèm định nghĩa kiểu dữ liệu. | Đúng, đây là tiêu chuẩn của framework giúp tự động hóa quá trình sinh Swagger docs và kiểm tra kiểu dữ liệu. | Triển khai 'học lý thuyết suông trước' bằng các hàm callback đồng bộ. | Sai, cú pháp này không tận dụng được cơ chế kiểm soát kiểu của FastAPI. | Triển khai qua 'chỉ học cú pháp cơ bản' mà không cần kế thừa. | Sai, cách viết này gây lỗi runtime khi parser cố gắng phân tích đối tượng. | Sử dụng cách viết 'bỏ qua các bài thực hành Lab' để đơn giản hóa cấu hình đầu vào. | Sai, cú pháp này thiếu tính chặt chẽ và không thể render Swagger UI. | 1 | 6 | BÀI MỚI
